tienda,busqueda,popularidad,dificultad,apps,medido,cubierta_antes,cubierta_ahora,locales_que_la_cubren_ahora
hu,pdf olvasó,5,45,234,2026-09-12 09:15:47,sí,sí,hu
hu,hang,5,45,234,2026-09-12 09:15:50,sí,sí,hu
id,youtube,93,88,213,2026-09-12 09:16:52,sí,no,
id,pdf,74,62,229,2026-09-12 09:20:59,sí,sí,id en-GB
id,tts,59,46,249,2026-09-12 09:16:49,sí,sí,id en-GB
id,offline,59,62,245,2026-09-12 09:16:51,sí,no,
id,buku,55,44,249,2026-09-12 09:20:59,sí,sí,id
id,ebook,55,47,241,2026-09-12 09:21:00,no,sí,id
id,text to speech,46,17,249,2026-09-12 09:16:46,sí,sí,id en-GB
id,belajar,46,51,248,2026-09-12 09:21:00,no,no,
id,pembaca pdf,44,21,248,2026-09-12 09:16:48,sí,sí,id
id,baca buku,43,38,249,2026-09-12 09:21:01,no,sí,id
id,suara,18,37,249,2026-09-12 09:16:47,sí,sí,id
id,aksesibilitas,5,5,44,2026-09-12 09:16:50,sí,no,
id,pembaca teks suara,5,5,65,2026-09-12 09:20:57,sí,sí,id
id,baca teks otomatis,5,5,7,2026-09-12 09:20:57,no,no,
id,ubah teks jadi suara,5,7,49,2026-09-12 09:16:49,no,no,
id,pembaca teks,5,9,179,2026-09-12 09:16:46,sí,sí,id
id,baca teks,5,9,141,2026-09-12 09:16:46,no,sí,id
id,pembaca,5,9,250,2026-09-12 09:16:49,sí,sí,id
id,disleksia,5,9,248,2026-09-12 09:16:50,sí,sí,id
id,baca pdf,5,9,141,2026-09-12 09:16:51,no,sí,id
id,artikel,5,11,248,2026-09-12 09:16:52,sí,sí,id
id,pembaca buku,5,11,150,2026-09-12 09:20:58,sí,sí,id
id,suara ke teks,5,11,248,2026-09-12 09:20:58,no,no,
id,teks ke suara,5,13,248,2026-09-12 09:16:49,no,no,
id,buku audio,5,15,248,2026-09-12 09:16:47,sí,sí,id
id,epub,5,17,249,2026-09-12 09:16:50,sí,sí,id en-GB
id,text to speech indonesia,5,21,250,2026-09-12 09:20:58,no,no,
id,tts indonesia,5,21,250,2026-09-12 09:20:58,no,no,
id,audiobook,5,23,249,2026-09-12 09:16:48,sí,sí,id en-GB
id,membaca buku,5,23,240,2026-09-12 09:16:51,no,no,
in,youtube,90,92,233,2026-09-12 09:16:44,sí,no,
in,pdf reader,56,47,243,2026-09-12 09:16:39,sí,sí,hi en-GB
in,text to speech,47,45,247,2026-09-12 09:16:37,sí,sí,hi en-GB
in,offline,47,58,243,2026-09-12 09:16:44,sí,no,
in,voice,42,41,242,2026-09-12 09:21:14,sí,sí,hi en-GB
in,reader,39,47,230,2026-09-12 09:16:41,sí,sí,hi en-GB
in,पढ़कर सुनाए,5,5,0,2026-09-12 09:16:43,sí,sí,hi
in,आवाज़,5,9,243,2026-09-12 09:16:42,sí,sí,hi
in,dyslexia,5,11,246,2026-09-12 09:16:41,sí,sí,hi en-GB
in,ऑडियोबुक,5,11,83,2026-09-12 09:16:42,no,sí,hi
in,text to speech hindi,5,15,76,2026-09-12 09:21:13,no,sí,hi
in,epub,5,17,248,2026-09-12 09:16:42,sí,sí,hi en-GB
in,read aloud,5,19,247,2026-09-12 09:16:38,sí,sí,hi en-GB
in,tts,5,19,248,2026-09-12 09:16:38,sí,sí,hi en-GB
in,voice reader,5,21,249,2026-09-12 09:16:38,sí,sí,hi en-GB
in,pdf to audio,5,21,249,2026-09-12 09:16:42,no,no,
in,text reader,5,21,247,2026-09-12 09:16:43,sí,sí,hi en-GB
in,hindi text to speech,5,35,58,2026-09-12 09:16:40,no,sí,hi
in,text to voice,5,37,246,2026-09-12 09:16:40,sí,sí,hi en-GB
in,pdf reader hindi,5,38,12,2026-09-12 09:21:14,no,sí,hi
in,read aloud app,5,41,248,2026-09-12 09:21:16,no,no,
in,text to speech app,5,45,249,2026-09-12 09:21:16,no,no,
in,speech to text,5,47,247,2026-09-12 09:21:15,sí,sí,hi en-GB
in,hindi reader,5,52,157,2026-09-12 09:21:14,no,sí,hi
in,study app,5,59,249,2026-09-12 09:21:15,no,no,
in,audio book,5,64,250,2026-09-12 09:21:16,no,no,
in,audiobook,5,65,249,2026-09-12 09:16:39,sí,sí,hi en-GB
in,hindi voice,5,69,188,2026-09-12 09:16:40,no,sí,hi
it,youtube,89,83,182,2026-09-12 09:14:05,sí,no,
it,pdf,71,68,217,2026-09-12 09:20:14,sí,sí,it en-GB
it,libri,66,63,203,2026-09-12 09:20:15,no,no,
it,offline,60,68,217,2026-09-12 09:14:03,sí,no,
it,audiolibri,56,61,227,2026-09-12 09:13:58,no,no,
it,text to speech,47,38,221,2026-09-12 09:13:57,sí,sí,it en-GB
it,epub,44,43,231,2026-09-12 09:20:14,sí,sí,it en-GB
it,lettore pdf,44,54,223,2026-09-12 09:13:58,sí,sí,it
it,voce,21,54,227,2026-09-12 09:14:00,sí,sí,it
it,lettura,18,63,227,2026-09-12 09:14:05,sí,sí,it
it,studiare,17,61,235,2026-09-12 09:20:15,no,sí,it
it,lettore epub,9,42,224,2026-09-12 09:14:00,sí,sí,it
it,tts,8,23,216,2026-09-12 09:13:57,sí,sí,it en-GB
it,lettore di testi,8,38,216,2026-09-12 09:20:11,no,sí,it
it,testo,8,50,223,2026-09-12 09:14:04,sí,no,
it,sintesi vocale,6,23,171,2026-09-12 09:13:55,sí,sí,it
it,lettore testi,6,39,216,2026-09-12 09:20:11,no,sí,it
it,lettore,6,50,236,2026-09-12 09:14:01,sí,sí,it
it,leggi pdf,6,53,228,2026-09-12 09:20:13,sí,no,
it,audiolibro,6,55,219,2026-09-12 09:13:57,sí,sí,it
it,voce che legge,5,5,4,2026-09-12 09:20:12,no,no,
it,narratore,5,7,228,2026-09-12 09:14:03,no,no,
it,leggere ad alta voce,5,15,57,2026-09-12 09:13:56,no,no,
it,lettura ad alta voce,5,15,40,2026-09-12 09:13:56,sí,no,
it,dislessia,5,15,128,2026-09-12 09:13:59,sí,sí,it
it,accessibilità,5,15,182,2026-09-12 09:13:59,sí,no,
it,testo in voce,5,17,240,2026-09-12 09:14:02,no,no,
it,articoli,5,19,215,2026-09-12 09:14:04,sí,no,
it,lettore vocale testi,5,19,78,2026-09-12 09:20:12,no,sí,it
it,da testo a voce,5,23,226,2026-09-12 09:14:02,sí,no,
it,voce naturale,5,38,216,2026-09-12 09:20:16,no,no,
it,lettore di testo,5,39,222,2026-09-12 09:13:56,sí,no,
it,sintetizzatore vocale,5,39,188,2026-09-12 09:20:16,no,no,
it,leggi,5,41,206,2026-09-12 09:14:01,sí,no,
it,leggere testi,5,41,218,2026-09-12 09:20:12,no,no,
it,lettura vocale,5,45,96,2026-09-12 09:14:02,sí,sí,it
it,lettore libri,5,48,226,2026-09-12 09:20:13,no,no,
it,lettore vocale,5,49,231,2026-09-12 09:13:59,sí,sí,it
it,text to speech italiano,5,50,56,2026-09-12 09:20:16,no,no,
it,testo parlato,5,53,210,2026-09-12 09:20:13,no,no,
jp,pdf,76,62,239,2026-09-12 09:20:47,sí,sí,en-US
jp,勉強,76,70,246,2026-09-12 09:20:48,no,no,
jp,小説,69,72,250,2026-09-12 09:20:47,no,sí,ja
jp,読書,64,68,248,2026-09-12 09:17:16,sí,sí,ja
jp,オフライン,62,72,248,2026-09-12 09:17:18,sí,no,
jp,電子書籍,61,79,250,2026-09-12 09:17:14,sí,sí,ja
jp,オーディオブック,60,62,246,2026-09-12 09:17:14,sí,sí,ja
jp,読み上げアプリ,54,45,249,2026-09-12 09:17:12,no,sí,ja
jp,text to speech,51,15,246,2026-09-12 09:17:15,sí,sí,ja en-US
jp,音声読み上げ,41,45,248,2026-09-12 09:17:12,no,sí,ja
jp,読み上げ,41,47,249,2026-09-12 09:17:11,sí,sí,ja
jp,音声,39,56,242,2026-09-12 09:17:17,sí,sí,ja
jp,テキスト読み上げ,29,47,250,2026-09-12 09:17:12,sí,sí,ja
jp,音読,28,46,248,2026-09-12 09:17:13,no,sí,ja
jp,音声読み上げアプリ,25,39,249,2026-09-12 09:20:47,no,sí,ja
jp,朗読,22,45,248,2026-09-12 09:17:13,sí,sí,ja
jp,音声変換,19,40,250,2026-09-12 09:20:48,no,sí,ja
jp,文字読み上げ,18,38,250,2026-09-12 09:20:46,no,no,
jp,リーダー,18,66,244,2026-09-12 09:17:17,sí,sí,ja
jp,音声合成,17,41,249,2026-09-12 09:17:13,sí,sí,ja
jp,文章読み上げ,14,37,250,2026-09-12 09:20:48,no,no,
jp,pdf 読み上げ,9,23,250,2026-09-12 09:17:14,sí,no,
jp,tts,8,15,248,2026-09-12 09:17:15,sí,sí,ja en-US
jp,読み上げ機能,7,33,250,2026-09-12 09:20:45,no,no,
jp,アクセシビリティ,5,11,206,2026-09-12 09:17:18,sí,no,
jp,ディスレクシア,5,23,247,2026-09-12 09:17:15,sí,no,
jp,ニュース 読み上げ,5,23,81,2026-09-12 09:20:49,no,no,
jp,読み上げ オフライン,5,35,115,2026-09-12 09:20:49,sí,no,
jp,ボイスリーダー,5,36,248,2026-09-12 09:20:46,no,no,
jp,読み上げソフト,5,39,249,2026-09-12 09:20:45,no,no,
jp,テキスト 音声,5,39,249,2026-09-12 09:20:45,sí,sí,ja
jp,小説 読み上げ,5,43,250,2026-09-12 09:17:16,no,sí,ja
jp,聴く読書,5,43,50,2026-09-12 09:20:46,no,no,
jp,英語 読み上げ,5,43,183,2026-09-12 09:20:49,no,no,
jp,記事,5,61,235,2026-09-12 09:17:18,sí,sí,ja
kr,유튜브,97,76,233,2026-09-12 09:17:09,sí,no,
kr,pdf,74,68,242,2026-09-12 09:20:53,sí,sí,ko en-GB
kr,공부,72,53,247,2026-09-12 09:20:54,no,no,
kr,뉴스,65,46,243,2026-09-12 09:20:55,no,no,
kr,독서,65,47,248,2026-09-12 09:20:54,no,sí,ko
kr,전자책,61,57,248,2026-09-12 09:17:09,sí,sí,ko
kr,소설,61,61,249,2026-09-12 09:20:54,no,sí,ko
kr,tts,59,19,247,2026-09-12 09:17:04,sí,sí,ko en-GB
kr,오디오북,59,54,250,2026-09-12 09:17:06,sí,sí,ko
kr,음성,34,48,249,2026-09-12 09:20:53,sí,sí,ko
kr,오프라인,32,68,246,2026-09-12 09:17:10,sí,no,
kr,텍스트 음성 변환,31,41,246,2026-09-12 09:17:04,sí,sí,ko
kr,낭독,5,5,246,2026-09-12 09:17:05,sí,sí,ko
kr,접근성,5,5,170,2026-09-12 09:17:08,sí,no,
kr,문자 읽어주기,5,5,21,2026-09-12 09:20:52,no,no,
kr,오디오북 만들기,5,5,13,2026-09-12 09:20:52,no,no,
kr,책 읽어주기,5,7,218,2026-09-12 09:20:52,sí,sí,ko
kr,텍스트 읽어주기,5,11,149,2026-09-12 09:17:06,sí,sí,ko
kr,난독증,5,11,54,2026-09-12 09:17:07,sí,sí,ko
kr,글 읽어주는 앱,5,11,71,2026-09-12 09:17:10,no,no,
kr,문서 읽어주기,5,11,59,2026-09-12 09:17:11,no,sí,ko
kr,음성 읽기,5,11,246,2026-09-12 09:20:51,sí,sí,ko
kr,텍스트 읽기,5,13,246,2026-09-12 09:20:52,sí,sí,ko
kr,기사,5,15,250,2026-09-12 09:17:11,sí,sí,ko
kr,tts 앱,5,15,246,2026-09-12 09:20:51,no,no,
kr,읽어주기,5,17,245,2026-09-12 09:17:05,sí,sí,ko
kr,텍스트 음성,5,23,250,2026-09-12 09:20:53,sí,sí,ko
kr,책 읽어주는,5,36,250,2026-09-12 09:17:05,sí,no,
kr,pdf 리더,5,37,229,2026-09-12 09:17:07,sí,sí,ko
kr,음성합성,5,37,248,2026-09-12 09:17:10,no,sí,ko
kr,리더,5,41,246,2026-09-12 09:17:07,sí,sí,ko
kr,음성 변환,5,46,249,2026-09-12 09:17:04,sí,sí,ko
kr,보이스,5,53,246,2026-09-12 09:17:08,sí,no,
lv,pdf,61,21,220,2026-09-12 09:17:35,sí,sí,en-GB
lv,text to speech,27,9,221,2026-09-12 09:17:34,sí,sí,en-GB
lv,teksts runā,5,5,0,2026-09-12 09:17:33,no,no,
lv,lasīšana skaļi,5,5,0,2026-09-12 09:17:33,no,no,
lv,audiogrāmata,5,5,2,2026-09-12 09:17:33,no,no,
lv,tts,5,7,221,2026-09-12 09:17:34,sí,sí,en-GB
lv,read aloud,5,7,233,2026-09-12 09:17:36,sí,sí,en-GB
lv,audiobook,5,21,239,2026-09-12 09:17:36,sí,sí,en-GB
lv,lasītājs,5,58,14,2026-09-12 09:17:35,no,no,
mx,pdf,73,68,236,2026-09-12 09:19:33,sí,sí,es-MX en-GB
mx,audiolibros,57,63,248,2026-09-12 09:13:17,sí,sí,es-MX
mx,lector pdf,50,42,247,2026-09-12 09:13:16,sí,sí,es-MX
mx,voz,50,46,247,2026-09-12 09:13:22,sí,sí,es-MX
mx,epub,49,40,250,2026-09-12 09:19:33,sí,sí,es-MX en-GB
mx,text to speech,47,17,249,2026-09-12 09:13:29,sí,sí,en-GB
mx,leer,47,64,248,2026-09-12 09:13:28,sí,sí,es-MX
mx,lectura,46,57,249,2026-09-12 09:19:33,no,no,
mx,lector de textos,45,17,249,2026-09-12 09:13:15,sí,sí,es-MX
mx,texto a voz,44,44,246,2026-09-12 09:13:15,sí,sí,es-MX
mx,lector de libros,43,51,249,2026-09-12 09:19:32,no,sí,es-MX
mx,leer pdf,17,52,249,2026-09-12 09:13:17,sí,sí,es-MX
mx,accesibilidad,5,7,218,2026-09-12 09:13:22,sí,no,
mx,lectura en voz alta,5,11,58,2026-09-12 09:13:27,no,no,
mx,dislexia,5,15,248,2026-09-12 09:13:22,sí,sí,es-MX
mx,tts,5,17,249,2026-09-12 09:13:20,sí,sí,es-MX en-GB
mx,text reader,5,17,249,2026-09-12 09:13:29,sí,sí,en-GB
mx,read aloud,5,19,249,2026-09-12 09:13:30,sí,sí,en-GB
mx,leer texto,5,23,249,2026-09-12 09:19:31,sí,sí,es-MX
mx,texto hablado,5,23,237,2026-09-12 09:19:33,no,no,
mx,lector epub,5,37,250,2026-09-12 09:13:22,sí,sí,es-MX
mx,lector de voz,5,38,248,2026-09-12 09:13:16,sí,sí,es-MX
mx,lector de texto,5,39,247,2026-09-12 09:19:31,sí,sí,es-MX
mx,convertir texto a voz,5,40,250,2026-09-12 09:13:20,no,no,
mx,voz a texto,5,41,249,2026-09-12 09:19:31,sí,sí,es-MX
mx,narrador de texto,5,41,208,2026-09-12 09:19:32,no,sí,es-MX
mx,narrador,5,42,200,2026-09-12 09:13:21,no,sí,es-MX
mx,leer en voz alta,5,44,135,2026-09-12 09:13:15,sí,no,
mx,lector,5,44,249,2026-09-12 09:13:21,sí,sí,es-MX
mx,leer documentos,5,51,248,2026-09-12 09:19:34,no,sí,es-MX
mx,audiolibro,5,58,248,2026-09-12 09:13:17,sí,sí,es-MX
mx,escuchar libros,5,60,250,2026-09-12 09:13:27,no,sí,es-MX
mx,app para leer,5,63,250,2026-09-12 09:19:32,no,no,
mx,leer libros,5,64,249,2026-09-12 09:13:26,no,sí,es-MX
nl,youtube,92,77,193,2026-09-12 09:14:35,sí,no,
nl,pdf,64,56,218,2026-09-12 09:20:20,sí,sí,nl-NL en-GB
nl,boeken,62,58,218,2026-09-12 09:20:20,no,no,
nl,luisterboeken,57,59,212,2026-09-12 09:14:31,no,no,
nl,offline,56,63,222,2026-09-12 09:14:34,sí,no,
nl,lezen,47,56,196,2026-09-12 09:20:21,no,sí,nl-NL
nl,text to speech,35,15,210,2026-09-12 09:14:33,sí,sí,nl-NL en-GB
nl,epub,32,43,232,2026-09-12 09:14:32,sí,sí,nl-NL en-GB
nl,tts,30,17,232,2026-09-12 09:14:31,sí,sí,nl-NL en-GB
nl,hardop voorlezen,5,5,15,2026-09-12 09:14:34,sí,no,
nl,voorleesfunctie,5,5,0,2026-09-12 09:20:19,no,no,
nl,lezer,5,7,219,2026-09-12 09:14:33,sí,sí,nl-NL
nl,toegankelijkheid,5,11,123,2026-09-12 09:14:32,no,no,
nl,tekst naar spraak,5,13,229,2026-09-12 09:14:29,sí,sí,nl-NL
nl,dyslexie,5,13,186,2026-09-12 09:14:32,sí,sí,nl-NL
nl,artikelen,5,13,170,2026-09-12 09:14:35,sí,no,
nl,tekst voorlezen,5,15,230,2026-09-12 09:14:30,sí,sí,nl-NL
nl,tekst naar spraak app,5,15,229,2026-09-12 09:20:18,no,no,
nl,pdf voorlezen,5,17,228,2026-09-12 09:14:31,sí,sí,nl-NL
nl,voorlees app,5,17,57,2026-09-12 09:20:18,no,no,
nl,voorleesapp,5,19,57,2026-09-12 09:14:29,no,sí,nl-NL
nl,spraak naar tekst,5,19,231,2026-09-12 09:20:19,sí,sí,nl-NL
nl,voorlezen,5,21,211,2026-09-12 09:14:29,sí,sí,nl-NL
nl,spraak,5,21,232,2026-09-12 09:14:31,sí,sí,nl-NL
nl,tts app,5,23,223,2026-09-12 09:20:21,no,no,
nl,stem,5,35,212,2026-09-12 09:14:33,sí,sí,nl-NL
nl,studeren,5,40,240,2026-09-12 09:20:22,no,no,
nl,pdf lezer,5,44,228,2026-09-12 09:14:34,sí,sí,nl-NL
nl,e-book,5,53,217,2026-09-12 09:20:22,sí,sí,en-GB
nl,luisterboek,5,64,212,2026-09-12 09:14:30,sí,sí,nl-NL
pl,youtube,88,76,192,2026-09-12 09:14:43,sí,no,
pl,pdf,66,53,222,2026-09-12 09:20:26,sí,sí,pl en-GB
pl,audiobook,61,61,233,2026-09-12 09:14:39,sí,sí,pl en-GB
pl,nauka,60,49,210,2026-09-12 09:20:27,no,no,
pl,offline,59,58,216,2026-09-12 09:14:43,sí,no,
pl,ebook,56,60,217,2026-09-12 09:20:27,no,sí,pl
pl,książki,48,51,225,2026-09-12 09:20:26,no,no,
pl,epub,38,39,233,2026-09-12 09:14:41,sí,sí,pl en-GB
pl,tts,34,13,237,2026-09-12 09:14:38,sí,sí,pl en-GB
pl,text to speech,30,17,215,2026-09-12 09:14:38,sí,sí,pl en-GB
pl,mowa,5,5,240,2026-09-12 09:20:24,no,no,
pl,lektor tekstu,5,5,15,2026-09-12 09:20:25,sí,sí,pl
pl,dostępność,5,7,79,2026-09-12 09:14:41,sí,no,
pl,czytanie tekstu,5,11,33,2026-09-12 09:14:37,sí,sí,pl
pl,tekst na mowę,5,11,112,2026-09-12 09:14:38,no,no,
pl,czytanie na głos,5,11,53,2026-09-12 09:14:40,sí,sí,pl
pl,czytanie na głos aplikacja,5,11,81,2026-09-12 09:20:24,no,no,
pl,syntezator mowy,5,13,38,2026-09-12 09:14:37,no,sí,pl
pl,dysleksja,5,13,210,2026-09-12 09:14:41,sí,sí,pl
pl,syntezator,5,15,202,2026-09-12 09:20:25,sí,sí,pl
pl,lektor,5,19,165,2026-09-12 09:14:37,sí,sí,pl
pl,czytanie książek,5,19,46,2026-09-12 09:20:24,no,no,
pl,głos,5,21,238,2026-09-12 09:14:42,sí,sí,pl
pl,czytnik tekstu,5,23,78,2026-09-12 09:14:37,sí,sí,pl
pl,artykuły,5,28,82,2026-09-12 09:14:43,sí,no,
pl,czytnik epub,5,37,110,2026-09-12 09:14:42,sí,sí,pl
pl,czytnik,5,42,244,2026-09-12 09:14:40,sí,sí,pl
pl,tts app,5,42,238,2026-09-12 09:20:25,no,no,
pl,czytanie,5,51,222,2026-09-12 09:20:27,sí,sí,pl
pl,audiobooki,5,53,230,2026-09-12 09:14:39,no,no,
pl,czytnik pdf,5,53,231,2026-09-12 09:14:39,sí,sí,pl
pt,pdf,71,52,217,2026-09-12 09:19:44,sí,sí,pt-PT en-GB
pt,livros,66,45,209,2026-09-12 09:19:45,no,sí,pt-PT
pt,offline,60,51,219,2026-09-12 09:14:15,sí,sí,pt-PT
pt,estudar,56,41,236,2026-09-12 09:19:45,no,sí,pt-PT
pt,audiobooks,53,45,232,2026-09-12 09:19:46,sí,sí,pt-PT en-GB
pt,epub,31,35,234,2026-09-12 09:19:44,sí,sí,pt-PT en-GB
pt,text to speech,25,11,220,2026-09-12 09:14:15,sí,sí,pt-PT en-GB
pt,acessibilidade,5,5,135,2026-09-12 09:14:11,sí,no,
pt,ler em voz alta,5,9,55,2026-09-12 09:14:08,sí,sí,pt-PT
pt,dislexia,5,9,205,2026-09-12 09:14:11,sí,sí,pt-PT
pt,leitura em voz alta,5,9,33,2026-09-12 09:14:13,sí,sí,pt-PT
pt,narrador de texto,5,9,63,2026-09-12 09:19:43,no,sí,pt-PT
pt,texto em voz,5,13,224,2026-09-12 09:14:07,sí,sí,pt-PT
pt,leitor de voz,5,13,153,2026-09-12 09:14:08,sí,sí,pt-PT
pt,narrador,5,13,85,2026-09-12 09:14:10,no,sí,pt-PT
pt,ler texto,5,15,222,2026-09-12 09:19:43,sí,sí,pt-PT
pt,texto para voz,5,17,231,2026-09-12 09:14:07,no,no,
pt,leitor de texto,5,17,238,2026-09-12 09:14:08,sí,sí,pt-PT
pt,leitor epub,5,19,225,2026-09-12 09:14:12,sí,sí,pt-PT
pt,voz para texto,5,19,230,2026-09-12 09:19:43,no,no,
pt,artigos,5,21,176,2026-09-12 09:14:16,sí,sí,pt-PT
pt,sintetizador de voz,5,23,241,2026-09-12 09:14:13,no,no,
pt,tts,5,36,237,2026-09-12 09:14:10,sí,sí,pt-PT en-GB
pt,audiobook,5,38,237,2026-09-12 09:14:10,sí,sí,pt-PT en-GB
pt,leitor de livros,5,40,237,2026-09-12 09:19:43,no,sí,pt-PT
pt,voz,5,42,231,2026-09-12 09:14:13,sí,sí,pt-PT
pt,leitura,5,43,226,2026-09-12 09:14:14,sí,sí,pt-PT
pt,privado,5,44,233,2026-09-12 09:14:16,sí,no,
pt,leitor,5,45,239,2026-09-12 09:14:14,sí,sí,pt-PT
pt,leitor pdf,5,47,225,2026-09-12 09:14:09,sí,sí,pt-PT
pt,audiolivro,5,49,198,2026-09-12 09:14:09,sí,sí,pt-PT
pt,ler,5,50,210,2026-09-12 09:14:14,sí,sí,pt-PT
pt,ler pdf,5,52,222,2026-09-12 09:14:12,sí,sí,pt-PT
ro,youtube,93,78,198,2026-09-12 09:14:52,sí,no,
ro,pdf,72,50,222,2026-09-12 09:14:52,sí,sí,ro en-GB
ro,offline,55,53,221,2026-09-12 09:14:50,sí,sí,ro
ro,text to speech,33,11,217,2026-09-12 09:14:46,sí,sí,ro en-GB
ro,audiobook,29,43,236,2026-09-12 09:14:47,sí,sí,ro en-GB
ro,citire cu voce tare,5,5,16,2026-09-12 09:14:45,no,no,
ro,accesibilitate,5,5,38,2026-09-12 09:14:49,sí,no,
ro,sinteza vocala,5,5,18,2026-09-12 09:14:50,no,sí,ro
ro,articole,5,5,208,2026-09-12 09:14:51,sí,no,
ro,text în vorbire,5,9,117,2026-09-12 09:14:45,sí,no,
ro,tts,5,11,218,2026-09-12 09:14:47,sí,sí,ro en-GB
ro,dislexie,5,11,205,2026-09-12 09:14:49,sí,sí,ro
ro,cititor,5,13,244,2026-09-12 09:14:50,sí,sí,ro
ro,cititor text,5,17,182,2026-09-12 09:14:46,sí,sí,ro
ro,epub,5,17,237,2026-09-12 09:14:51,sí,sí,ro en-GB
ro,cititor pdf,5,23,227,2026-09-12 09:14:48,sí,sí,ro
ro,voce,5,34,223,2026-09-12 09:14:49,sí,sí,ro
ro,carte audio,5,50,165,2026-09-12 09:14:48,no,sí,ro
ru,youtube,78,90,219,2026-09-12 09:16:18,sí,no,
ru,книги,66,69,246,2026-09-12 09:20:37,no,no,
ru,pdf,56,54,241,2026-09-12 09:20:37,sí,sí,ru en-GB
ru,читалка,56,63,249,2026-09-12 09:16:10,sí,sí,ru
ru,аудиокниги,47,73,248,2026-09-12 09:16:13,no,no,
ru,офлайн,40,66,246,2026-09-12 09:16:17,sí,no,
ru,читать,37,64,248,2026-09-12 09:20:38,no,no,
ru,голос,32,39,246,2026-09-12 09:16:15,sí,sí,ru
ru,чтение,31,55,250,2026-09-12 09:16:17,sí,sí,ru
ru,статьи,24,21,246,2026-09-12 09:16:18,sí,sí,ru
ru,text to speech,22,15,246,2026-09-12 09:16:14,sí,sí,ru en-GB
ru,текст в речь,21,21,248,2026-09-12 09:16:11,no,sí,ru
ru,голосовое чтение,5,5,7,2026-09-12 09:16:12,no,no,
ru,чтение текста вслух,5,5,43,2026-09-12 09:20:35,sí,no,
ru,чтение вслух,5,9,75,2026-09-12 09:16:11,sí,sí,ru
ru,дислексия,5,9,248,2026-09-12 09:16:15,sí,sí,ru
ru,чтение книг вслух,5,9,36,2026-09-12 09:20:35,no,no,
ru,синтез речи,5,13,50,2026-09-12 09:16:10,sí,no,
ru,озвучка,5,15,248,2026-09-12 09:16:17,sí,sí,ru
ru,синтезатор речи,5,17,248,2026-09-12 09:20:36,no,no,
ru,озвучка книг,5,17,83,2026-09-12 09:20:36,no,no,
ru,tts,5,19,249,2026-09-12 09:16:14,sí,sí,ru en-GB
ru,текст в голос,5,21,248,2026-09-12 09:16:12,no,sí,ru
ru,доступность,5,21,208,2026-09-12 09:16:15,sí,no,
ru,речь,5,21,248,2026-09-12 09:20:37,no,sí,ru
ru,озвучка текста,5,23,188,2026-09-12 09:16:10,sí,no,
ru,озвучить текст,5,23,39,2026-09-12 09:20:35,no,no,
ru,текст в аудио,5,23,250,2026-09-12 09:20:36,no,no,
ru,голосовой,5,39,246,2026-09-12 09:20:38,no,no,
ru,epub,5,43,248,2026-09-12 09:16:16,sí,sí,ru en-GB
ru,pdf читалка,5,44,235,2026-09-12 09:16:13,sí,sí,ru
ru,аудиокнига,5,57,237,2026-09-12 09:16:12,sí,sí,ru
ru,читалка книг,5,69,247,2026-09-12 09:16:16,no,no,
sa,يوتيوب,92,83,207,2026-09-12 09:16:35,sí,no,
sa,pdf,70,63,238,2026-09-12 09:21:10,sí,sí,ar-SA en-GB
sa,كتب,61,51,250,2026-09-12 09:21:11,no,no,
sa,text to speech,41,15,247,2026-09-12 09:16:32,sí,sí,ar-SA en-GB
sa,صوت,35,53,249,2026-09-12 09:16:33,sí,sí,ar-SA
sa,قارئ pdf,18,23,243,2026-09-12 09:16:32,sí,sí,ar-SA
sa,قارئ النصوص,5,5,250,2026-09-12 09:16:30,no,sí,ar-SA
sa,tts arabic,5,5,10,2026-09-12 09:21:12,no,no,
sa,عسر القراءة,5,7,32,2026-09-12 09:16:33,sí,sí,ar-SA
sa,قراءة النصوص,5,7,93,2026-09-12 09:21:08,no,no,
sa,قراءة بصوت عالٍ,5,9,38,2026-09-12 09:16:30,no,no,
sa,تحويل الكتابة الى صوت,5,11,123,2026-09-12 09:16:34,no,no,
sa,text to speech arabic,5,11,74,2026-09-12 09:21:11,no,no,
sa,تحويل النص إلى كلام,5,13,240,2026-09-12 09:16:29,sí,no,
sa,قراءة النص,5,13,221,2026-09-12 09:16:29,no,no,
sa,tts,5,15,249,2026-09-12 09:16:32,sí,sí,ar-SA en-GB
sa,epub,5,15,250,2026-09-12 09:16:33,sí,sí,ar-SA en-GB
sa,تحويل النص الى صوت,5,15,249,2026-09-12 09:16:36,no,no,
sa,نطق,5,15,250,2026-09-12 09:21:08,no,no,
sa,تحويل النص إلى صوت,5,15,248,2026-09-12 09:21:09,sí,no,
sa,تحويل الصوت الى نص,5,15,250,2026-09-12 09:21:10,no,no,
sa,نطق النص,5,19,97,2026-09-12 09:16:30,no,no,
sa,مقالات,5,19,250,2026-09-12 09:16:35,sí,sí,ar-SA
sa,قارئ,5,38,250,2026-09-12 09:16:34,sí,sí,ar-SA
sa,كتاب صوتي,5,42,250,2026-09-12 09:16:31,sí,sí,ar-SA
sa,قراءة,5,42,250,2026-09-12 09:21:11,no,no,
sa,قارئ الكتب,5,44,250,2026-09-12 09:21:09,no,no,
sa,قراءة الكتب,5,46,250,2026-09-12 09:16:34,no,no,
sa,كتب صوتية,5,47,250,2026-09-12 09:16:31,no,no,
